accession,model,phage,metadata,host,taxonomic_level,host_reasoning,host_confidence,host_source,host_found,thermal_range,temperature,thermal_reasoning,thermal_confidence,thermal_found,summary_file,paper_dir,paper_dir_size,relevant_accession_papers,relevant_accession_dir_size,host_paper_dir,host_paper_dir_size,relevant_host_papers,relevant_host_dir_size,duration,decision,nodes,timings,JSONDecodeError
YP_001468074,gemma4:e4b,Thermus phage P74-26,"{""uid"": ""158635925"", ""accession"": ""YP_001468074"", ""title"": ""virion structural protein [Thermus phage P74-26]"", ""organism"": ""Thermus phage P74-26"", ""taxonId"": 2914007, ""sequence_length"": 297, ""create_date"": ""2007/09/14"", ""update_date"": ""2023/01/11"", ""dbsource"": ""refseq"", ""extra"": ""gi|158635925|ref|YP_001468074.2|"", ""host"": ""Thermus thermophilus""}",Thermus thermophilus,species,The metadata explicitly states the 'host' as 'Thermus thermophilus'.,,metadata,True,thermophile,,"The majority of the provided summaries (Paper: 42104995.txt, PMC13140390.1.txt, PMC13039148.1.txt, PMC13150438.1.txt, PMC12980113.1.txt, 41906752.txt) explicitly state or strongly imply that the enzyme or organism originates from a thermophilic source. 

*   **Paper: 42104995.txt:** States the enzyme ",,True,data/accessions/YP_001468074/summary/summary.txt,data/accessions/YP_001468074/library/accession_lit,0,[],0,data/accessions/YP_001468074/library/host_lit,7,"['42104995.txt', 'PMC13140390.1.txt', 'PMC13039148.1.txt', 'PMC13150438.1.txt', 'PMC12980113.1.txt', '41906752.txt', '41935501.txt']",7,336.06,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 7.17, ""ClassifyHostMetadata"": 2.05, ""FilterRelevantLiterature"": 0.0, ""FilterRelevantHostLiterature"": 144.39, ""ClassifySummary"": 6.41}",False
YP_001468079,gemma4:e4b,Thermus phage P74-26,"{""uid"": ""157265521"", ""accession"": ""YP_001468079"", ""title"": ""DNA repair exonuclease [Thermus phage P74-26]"", ""organism"": ""Thermus phage P74-26"", ""taxonId"": 2914007, ""sequence_length"": 270, ""create_date"": ""2007/09/14"", ""update_date"": ""2023/01/11"", ""dbsource"": ""refseq"", ""extra"": ""gi|157265521|ref|YP_001468079.1|"", ""host"": ""Thermus thermophilus""}",Thermus thermophilus,species,The metadata explicitly states the 'host' as 'Thermus thermophilus'.,,metadata,True,thermophile,,"The majority of the provided summaries (Paper: 42104995.txt, PMC13140390.1.txt, PMC13039148.1.txt, PMC13150438.1.txt, PMC12980113.1.txt, 41906752.txt) explicitly state or strongly imply that the enzyme or organism originates from a thermophilic source. 

*   **Paper: 42104995.txt:** States the enzyme ",,True,data/accessions/YP_001468079/summary/summary.txt,data/accessions/YP_001468079/library/accession_lit,0,[],0,data/accessions/YP_001468079/library/host_lit,7,"['42104995.txt', 'PMC13140390.1.txt', 'PMC13039148.1.txt', 'PMC13150438.1.txt', 'PMC12980113.1.txt', '41906752.txt', '41935501.txt']",7,342.94,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 5.87, ""ClassifyHostMetadata"": 2.03, ""FilterRelevantLiterature"": 0.0, ""FilterRelevantHostLiterature"": 145.0, ""ClassifySummary"": 6.68}",False
YP_001468077,gemma4:e4b,Thermus phage P74-26,"{""uid"": ""157265519"", ""accession"": ""YP_001468077"", ""title"": ""metallo-endopeptidase [Thermus phage P74-26]"", ""organism"": ""Thermus phage P74-26"", ""taxonId"": 2914007, ""sequence_length"": 153, ""create_date"": ""2007/09/14"", ""update_date"": ""2023/01/11"", ""dbsource"": ""refseq"", ""extra"": ""gi|157265519|ref|YP_001468077.1|"", ""host"": ""Thermus thermophilus""}",Thermus thermophilus,species,The metadata explicitly states the 'host' as 'Thermus thermophilus'.,,metadata,True,thermophile,,"The majority of the provided summaries (Paper: 42104995.txt, PMC13140390.1.txt, PMC13039148.1.txt, PMC13150438.1.txt, PMC12980113.1.txt, 41906752.txt) explicitly state or strongly imply that the enzyme or organism originates from a thermophilic source. 

*   **Paper: 42104995.txt:** States the enzyme ",,True,data/accessions/YP_001468077/summary/summary.txt,data/accessions/YP_001468077/library/accession_lit,0,[],0,data/accessions/YP_001468077/library/host_lit,7,"['42104995.txt', 'PMC13140390.1.txt', 'PMC13039148.1.txt', 'PMC13150438.1.txt', 'PMC12980113.1.txt', '41906752.txt', '41935501.txt']",7,341.46999999999997,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 5.32, ""ClassifyHostMetadata"": 2.05, ""FilterRelevantLiterature"": 0.0, ""FilterRelevantHostLiterature"": 146.82, ""ClassifySummary"": 6.65}",False
YP_001468072,gemma4:e4b,Thermus phage P74-26,"{""uid"": ""157265514"", ""accession"": ""YP_001468072"", ""title"": ""WD40-like beta-propeller protein [Thermus phage P74-26]"", ""organism"": ""Thermus phage P74-26"", ""taxonId"": 2914007, ""sequence_length"": 560, ""create_date"": ""2007/09/14"", ""update_date"": ""2023/01/11"", ""dbsource"": ""refseq"", ""extra"": ""gi|157265514|ref|YP_001468072.1|"", ""host"": ""Thermus thermophilus""}",Thermus thermophilus,species,The metadata explicitly states the 'host' as 'Thermus thermophilus'.,,metadata,True,thermophile,,"The majority of the provided summaries (Paper: 42104995.txt, PMC13140390.1.txt, PMC13039148.1.txt, PMC13150438.1.txt, PMC12980113.1.txt, 41906752.txt) explicitly state or strongly imply that the enzyme or organism originates from a thermophilic source. 

*   **Paper: 42104995.txt:** States the enzyme ",,True,data/accessions/YP_001468072/summary/summary.txt,data/accessions/YP_001468072/library/accession_lit,0,[],0,data/accessions/YP_001468072/library/host_lit,7,"['42104995.txt', 'PMC13140390.1.txt', 'PMC13039148.1.txt', 'PMC13150438.1.txt', 'PMC12980113.1.txt', '41906752.txt', '41935501.txt']",7,340.3,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 7.9, ""ClassifyHostMetadata"": 2.03, ""FilterRelevantLiterature"": 0.0, ""FilterRelevantHostLiterature"": 145.1, ""ClassifySummary"": 6.55}",False
YP_001285862,gemma4:e4b,Geobacillus virus E2,"{""uid"": ""148747783"", ""accession"": ""YP_001285862"", ""title"": ""thymidylate synthase [Geobacillus virus E2]"", ""organism"": ""Geobacillus virus E2"", ""taxonId"": 447909, ""sequence_length"": 264, ""create_date"": ""2007/06/11"", ""update_date"": ""2023/01/08"", ""dbsource"": ""refseq"", ""extra"": ""gi|148747783|ref|YP_001285862.1|"", ""host"": ""Geobacillus"", ""country"": ""China"", ""isolation_source"": ""deep-sea hydrothermal field""}",Geobacillus,genus,The metadata explicitly contains the key 'host' with the value 'Geobacillus'.,,metadata,True,thermophile,,"Three out of the five papers (PMC13130090.1.txt, PMC13135583.1.txt, and 41990964.txt) explicitly state or strongly imply that the organism or its associated protein is thermophilic. 

1. **PMC13130090.1.txt:** States, ""The organism is explicitly described as a thermophilic bacterium,"" and provides an optimal growth temperature of $60^	ext{o}	ext{C}$.
2. **PMC13135583.1.txt:** States, ""The organism studied is a thermophile,"" and details optimal growth conditions at $60^	ext{o}	ext{C}$ and processes requiring $70-80^	ext{o}	ext{C}$.
3. **41990964.txt:** States, ""The source organism is identified as a thermophilic bacterium,"" and notes an optimum activity temperature of $70^	ext{o}	ext{C}$.

Two papers (18573317.txt and PMC13137057.1.txt) either mention thermophilic context (18573317.txt) or provide no thermal data (PMC13137057.1.txt). Given the overwhelming evidence from the majority of the provided summaries, the classification is thermophile.",,True,data/accessions/YP_001285862/summary/summary.txt,data/accessions/YP_001285862/library/accession_lit,1,['18573317.txt'],0,data/accessions/YP_001285862/library/host_lit,5,"['PMC13130090.1.txt', 'PMC13137057.1.txt', 'PMC13135583.1.txt', '41990964.txt']",4,376.79,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 3.51, ""ClassifyHostMetadata"": 2.01, ""FilterRelevantLiterature"": 3.18, ""FilterRelevantHostLiterature"": 188.29, ""ClassifySummary"": 8.81}",False
BFP65619,gemma4:e4b,Geobacillus kaustophilus,"{""uid"": ""2784636822"", ""accession"": ""BFP65619"", ""title"": ""2-oxo acid dehydrogenase subunit E2 [Geobacillus kaustophilus]"", ""organism"": ""Geobacillus kaustophilus"", ""taxonId"": 1462, ""sequence_length"": 268, ""create_date"": ""2024/08/08"", ""update_date"": ""2026/02/04"", ""dbsource"": ""insd"", ""extra"": ""gi|2784636822|dbj|BFP65619.1|"", ""strain"": ""GBlys"", ""country"": ""missing: lab stock"", ""collection_date"": ""2023-05-19""}",Geobacillus kaustophilus,species,"The abstract states: ""Geobacillus kaustophilus GBlys is a lysogenic strain of the temperate phage phiOH2"". The announcement section further clarifies: ""The thermophilic bacterium Geobacillus kaustophilus GBlys is a strain lysogenized by the temperate phage phiOH2 of the type strain of this species, G. kaustophilus NBRC 102445T (1)"". This explicitly links the phage to the bacterium *Geobacillus kaustophilus*.",,literature,True,thermophile,,"Three out of the five papers (PMC11737034.1.txt, PMC13130090.1.txt, and PMC12932336.1.txt) explicitly classify the organism as 'thermophilic bacterium' or describe it as having thermophilic adaptation. Furthermore, the optimal growth temperatures reported in these papers (55°C, 60°C, 65°C) are all significantly above the typical mesophilic range (20-45°C) and are consistent with thermophilic life. While one paper (41612718.txt) suggests a moderate temperature optimum (40°C), the overwhelming majority of the evidence points to thermophily.",,True,data/accessions/BFP65619/summary/summary.txt,data/accessions/BFP65619/library/accession_lit,1,['PMC11737034.1.txt'],0,data/accessions/BFP65619/library/host_lit,5,"['PMC13130090.1.txt', 'PMC12932336.1.txt', '41612718.txt', '41850450.txt']",4,255.86,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""ClassifyHostLiterature"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 11.61, ""ClassifyHostMetadata"": 2.26, ""ClassifyHostLiterature"": 7.14, ""FilterRelevantLiterature"": 5.44, ""FilterRelevantHostLiterature"": 96.26, ""ClassifySummary"": 5.73}",False
YP_001285822,gemma4:e4b,Geobacillus virus E2,"{""uid"": ""148747744"", ""accession"": ""YP_001285822"", ""title"": ""tail family protein [Geobacillus virus E2]"", ""organism"": ""Geobacillus virus E2"", ""taxonId"": 447909, ""sequence_length"": 268, ""create_date"": ""2007/06/11"", ""update_date"": ""2023/01/08"", ""dbsource"": ""refseq"", ""extra"": ""gi|148747744|ref|YP_001285822.1|"", ""host"": ""Geobacillus"", ""country"": ""China"", ""isolation_source"": ""deep-sea hydrothermal field""}",Geobacillus,genus,The metadata explicitly contains the key 'host' with the value 'Geobacillus'.,,metadata,True,thermophile,,"The majority of the papers (PMC13130090.1.txt, PMC13135583.1.txt, 41990964.txt) explicitly state or demonstrate thermophilic characteristics. 

1. **PMC13130090.1.txt:** States the organism is a ""thermophilic Gram-positive bacterium"" with an optimal growth temperature of ""60 °C"" and a range up to ""74 °C"".
2. **PMC13135583.1.txt:** Explicitly identifies the organism as a ""thermophile"" with optimal growth conditions at ""60 °C"" and discusses processes requiring ""elevated temperatures ($70-80^	ext{o} 	ext{C}$)"".
3. **41990964.txt:** Notes that the ""Source organism is identified as a thermophilic bacterium"" and the enzyme has an ""optimum activity temperature of 70 °C"".

Only one paper (PMC13137057.1.txt) provides no thermal data, and the other paper (18573317.txt) describes a ""deep-sea thermophilic bacteriophage."" Therefore, the overwhelming evidence points to thermophily.",,True,data/accessions/YP_001285822/summary/summary.txt,data/accessions/YP_001285822/library/accession_lit,1,['18573317.txt'],0,data/accessions/YP_001285822/library/host_lit,5,"['PMC13130090.1.txt', 'PMC13137057.1.txt', 'PMC13135583.1.txt', '41990964.txt']",4,374.88,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 4.23, ""ClassifyHostMetadata"": 2.01, ""FilterRelevantLiterature"": 3.13, ""FilterRelevantHostLiterature"": 187.49, ""ClassifySummary"": 8.48}",False
ABI36835,gemma4:e4b,Geobacillus virus E2,"{""uid"": ""113715686"", ""accession"": ""ABI36835"", ""title"": ""hypothetical protein [Geobacillus virus E2]"", ""organism"": ""Geobacillus virus E2"", ""taxonId"": 447909, ""sequence_length"": 268, ""create_date"": ""2007/06/01"", ""update_date"": ""2008/08/18"", ""dbsource"": ""insd"", ""extra"": ""gi|113715686|gb|ABI36835.1|"", ""host"": ""Geobacillus"", ""country"": ""China"", ""isolation_source"": ""deep-sea hydrothermal field""}",Geobacillus,genus,The metadata explicitly contains the key 'host' with the value 'Geobacillus'.,,metadata,True,thermophile,,"The majority of the provided papers (PMC8005036.1.txt, 18573317.txt, PMC6963370.1.txt, PMC5304195.1.txt, PMC13130090.1.txt, PMC13135583.1.txt, 41990964.txt) explicitly state or strongly imply that the organisms or enzymes studied are thermophilic. Specific evidence includes: 
- PMC8005036.1.txt: Mentions scaffold protein derived from *Geobacillus stearothermophilus* (a thermophilic organism) and *Aquifex aeolicus* (associated with a known thermal profile).
- 18573317.txt: Source is a 'deep-sea thermophilic bacteriophage' and is 'explicitly classified as thermophilic'.
- PMC6963370.1.txt: Sources include 'hot springs (Yellowstone National Park, 70 °C growth)' and 'deep-sea hydrothermal vents', and the resulting proteins show high thermostability (e.g., activity after 95 °C).
- PMC5304195.1.txt: Source is a 'deep-sea thermophilic bacteriophage' and the enzyme is 'characterized as thermophilic and thermostable'.
- PMC13130090.1.txt: The organism is 'explicitly identified as a thermophilic bacterium' with an optimal growth temperature of 60 °C.
- PMC13135583.1.txt: The organism is 'a known thermophile', with optimal and consistent growth conditions at 60 °C, and the process requires $70–80^	ext{o}	ext{C}$ for optimal hydrolysis.
- 41990964.txt: The enzyme was characterized from a 'thermophilic bacterium' and showed 'thermophilic properties'.
While one paper (PMC13137057.1.txt) provides no thermal data, the overwhelming consensus across the other seven papers points to thermophilic adaptation.",,True,data/accessions/ABI36835/summary/summary.txt,data/accessions/ABI36835/library/accession_lit,5,"['PMC8005036.1.txt', '18573317.txt', 'PMC6963370.1.txt', 'PMC5304195.1.txt']",0,data/accessions/ABI36835/library/host_lit,5,"['PMC13130090.1.txt', 'PMC13137057.1.txt', 'PMC13135583.1.txt', '41990964.txt']",4,634.0300000000001,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 28.09, ""ClassifyHostMetadata"": 1.99, ""FilterRelevantLiterature"": 117.34, ""FilterRelevantHostLiterature"": 188.07, ""ClassifySummary"": 13.86}",False
NP_835728,gemma4:e4b,Rhodothermus phage RM378,"{""uid"": ""30044131"", ""accession"": ""NP_835728"", ""title"": ""similar to major head protein [Rhodothermus phage RM378]"", ""organism"": ""Rhodothermus phage RM378"", ""taxonId"": 148943, ""sequence_length"": 523, ""create_date"": ""2003/04/22"", ""update_date"": ""2023/01/08"", ""dbsource"": ""refseq"", ""extra"": ""gi|30044131|gnl|REF_NCBI_MICRO|phiN315_141|ref|NP_835728.1|"", ""host"": ""Rhodothermus marinus"", ""old_name"": ""Bacteriophage RM 378""}",Rhodothermus marinus,species,The metadata explicitly contains the key 'host' with the value 'Rhodothermus marinus'.,,metadata,True,thermophile,,"The majority of the papers explicitly mention or strongly imply thermophilic adaptation. 
- Paper 15579472.txt: States the source organism is a ""thermophilic eubacterium"" and the enzyme retains activity at ""elevated temperatures"".
- Paper 24318108.txt: States the phage was ""isolated from a thermophilic bacterium"" and shows stability up to 65 °C, with loss of viability at higher temperatures.
- Paper 41406621.txt: Mentions an enzyme from a ""thermophilic source"" and specifically names *Rhodothermus marinus*, a known thermophile.
- Paper 39970754.txt: While lacking direct organism context, the focus on ""significant thermostability"" aligns with thermophilic characteristics, although the temperature (50°C) is borderline for a definitive classification based on this paper alone. 
Given three out of four papers explicitly link the source or the enzyme's properties to thermophily, the overall classification is thermophile.",,True,data/accessions/NP_835728/summary/summary.txt,data/accessions/NP_835728/library/accession_lit,2,"['15579472.txt', '24318108.txt']",0,data/accessions/NP_835728/library/host_lit,5,"['41406621.txt', '39970754.txt']",2,53.010000000000005,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 9.83, ""ClassifyHostMetadata"": 2.17, ""FilterRelevantLiterature"": 4.35, ""FilterRelevantHostLiterature"": 9.05, ""ClassifySummary"": 6.0}",False
NP_835725,gemma4:e4b,Rhodothermus phage RM378,"{""uid"": ""30044128"", ""accession"": ""NP_835725"", ""title"": ""ATPase [Rhodothermus phage RM378]"", ""organism"": ""Rhodothermus phage RM378"", ""taxonId"": 148943, ""sequence_length"": 381, ""create_date"": ""2003/04/22"", ""update_date"": ""2023/01/08"", ""dbsource"": ""refseq"", ""extra"": ""gi|30044128|gnl|REF_NCBI_MICRO|phiN315_138|ref|NP_835725.1|"", ""host"": ""Rhodothermus marinus"", ""old_name"": ""Bacteriophage RM 378""}",Rhodothermus marinus,species,The metadata explicitly contains the key 'host' with the value 'Rhodothermus marinus'.,,metadata,True,thermophile,,"The majority of the papers explicitly mention or strongly imply thermophilic origins or adaptation. 

1. Paper 15579472.txt: States the source organism is a ""thermophilic eubacterium"" and the enzyme retains activity at ""elevated temperatures.""
2. Paper 24318108.txt: States the phage was ""isolated from a thermophilic bacterium"" and shows stability up to 65 °C, with loss of viability at higher temperatures.
3. Paper 41406621.txt: Mentions an enzyme from a ""thermophilic source"" and specifically names the source as ""*Rhodothermus marinus*,"" which is a known thermophile.
4. Paper 39970754.txt: While lacking a direct source description, the focus on ""significant thermostability"" and ""elevated temperatures"" aligns with thermophilic characteristics, although this paper is the weakest link compared to the others.",,True,data/accessions/NP_835725/summary/summary.txt,data/accessions/NP_835725/library/accession_lit,2,"['15579472.txt', '24318108.txt']",0,data/accessions/NP_835725/library/host_lit,5,"['41406621.txt', '39970754.txt']",2,55.870000000000005,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 12.74, ""ClassifyHostMetadata"": 2.16, ""FilterRelevantLiterature"": 4.32, ""FilterRelevantHostLiterature"": 9.07, ""ClassifySummary"": 5.66}",False
YP_001210360,gemma4:e4b,Acidianus bottle-shaped virus,"{""uid"": ""146411867"", ""accession"": ""YP_001210360"", ""title"": ""hypothetical protein ABV_gp56 [Acidianus bottle-shaped virus]"", ""organism"": ""Acidianus bottle-shaped virus"", ""taxonId"": 437444, ""sequence_length"": 133, ""create_date"": ""2007/05/11"", ""update_date"": ""2023/01/08"", ""dbsource"": ""refseq"", ""extra"": ""gi|146411867|ref|YP_001210360.1|"", ""host"": ""Acidianus convivator"", ""country"": ""Italy: Pozzuoli"", ""isolation_source"": ""hot acidic (93degC, pH1.5) spring""}",Acidianus convivator,species,The metadata explicitly states 'host': 'Acidianus convivator'.,,metadata,True,thermophile,,"The first paper explicitly states the organism is an ""obligate thermophile"" with an ""Optimal growth temperature: 70°C"" and a ""Topt 70°C."" The second paper describes communities with taxa adapted to high temperatures, noting the ""AA group... dominated by taxa adapted to extreme thermophilic conditions"" and a range up to $94^	ext{o}	ext{C}$. Although both papers mention activity at lower temperatures (e.g., $10^	ext{o}	ext{C}$ in Paper 1, or mesophilic components in Paper 2), the defining characteristics and optimal conditions emphasized for the primary subject/dominant groups are consistently high temperatures ($70^	ext{o}	ext{C}$ and $>50^	ext{o}	ext{C}$), leading to the overall classification of thermophile.",,True,data/accessions/YP_001210360/summary/summary.txt,data/accessions/YP_001210360/library/accession_lit,1,[],0,data/accessions/YP_001210360/library/host_lit,5,"['PMC11018855.1.txt', 'PMC11681762.1.txt']",2,305.09999999999997,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 4.11, ""ClassifyHostMetadata"": 2.06, ""FilterRelevantLiterature"": 2.33, ""FilterRelevantHostLiterature"": 149.04, ""ClassifySummary"": 6.18}",False
YP_015542,gemma4:e4b,Pyrobaculum spherical virus,"{""uid"": ""47131176"", ""accession"": ""YP_015542"", ""title"": ""hypothetical protein PyrSV_gp21 [Pyrobaculum spherical virus]"", ""organism"": ""Pyrobaculum spherical virus"", ""taxonId"": 270161, ""sequence_length"": 316, ""create_date"": ""2004/05/12"", ""update_date"": ""2023/01/08"", ""dbsource"": ""refseq"", ""extra"": ""gi|47131176|ref|YP_015542.1|"", ""host"": ""Thermoproteus tenax""}",Thermoproteus tenax,species,The metadata explicitly states 'host': 'Thermoproteus tenax'.,,metadata,True,thermophile,,"The majority of the evidence points to thermophilic characteristics. Paper 36125762.txt states the enzyme 'originates from a hyperthermophilic crenarchaeon' and 'exhibits intrinsic thermostability.' Paper 30206766.txt confirms the enzyme was 'sourced from a hyperthermophilic archaeon' and 'exhibited highly thermostable activity.' Paper PMC7919099.1.txt further supports this, noting the enzyme is 'derived from a hyperthermophilic archaeon, exhibiting thermostability and optimal activity in the 70–90 °C range.' While one paper mentions mesophilic culture conditions (37 °C) for a model organism (*M. smegmatis*), the core evidence regarding the *enzyme* being studied consistently points to a hyperthermophilic source and thermostability.",,True,data/accessions/YP_015542/summary/summary.txt,data/accessions/YP_015542/library/accession_lit,1,[],0,data/accessions/YP_015542/library/host_lit,4,"['36125762.txt', 'PMC6339583.1.txt', '30206766.txt', 'PMC7919099.1.txt']",4,210.86,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 4.02, ""ClassifyHostMetadata"": 1.99, ""FilterRelevantLiterature"": 2.4, ""FilterRelevantHostLiterature"": 86.24, ""ClassifySummary"": 5.47}",False
YP_001468067,gemma4:e4b,Thermus phage P74-26,"{""uid"": ""157265509"", ""accession"": ""YP_001468067"", ""title"": ""lectin-like sugar binding domain [Thermus phage P74-26]"", ""organism"": ""Thermus phage P74-26"", ""taxonId"": 2914007, ""sequence_length"": 227, ""create_date"": ""2007/09/14"", ""update_date"": ""2023/01/11"", ""dbsource"": ""refseq"", ""extra"": ""gi|157265509|ref|YP_001468067.1|"", ""host"": ""Thermus thermophilus""}",Thermus thermophilus,species,The metadata explicitly states 'host': 'Thermus thermophilus'.,,metadata,True,thermophile,,"The majority of the provided summaries (Paper: 42104995.txt, PMC13140390.1.txt, PMC13039148.1.txt, PMC13150438.1.txt, PMC12980113.1.txt, 41906752.txt) explicitly state or strongly imply that the enzyme or organism originates from a thermophilic source. 

*   **Paper: 42104995.txt:** States the enzyme ",,True,data/accessions/YP_001468067/summary/summary.txt,data/accessions/YP_001468067/library/accession_lit,0,[],0,data/accessions/YP_001468067/library/host_lit,7,"['42104995.txt', 'PMC13140390.1.txt', 'PMC13039148.1.txt', 'PMC13150438.1.txt', 'PMC12980113.1.txt', '41906752.txt', '41935501.txt']",7,337.89,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 6.87, ""ClassifyHostMetadata"": 2.03, ""FilterRelevantLiterature"": 0.0, ""FilterRelevantHostLiterature"": 144.7, ""ClassifySummary"": 6.52}",False
YP_009509140,gemma4:e4b,Thermoproteus tenax virus 1,"{""uid"": ""1464311425"", ""accession"": ""YP_009509140"", ""title"": ""hypothetical protein D1T48_gp24 [Thermoproteus tenax virus 1]"", ""organism"": ""Thermoproteus tenax virus 1"", ""taxonId"": 10479, ""sequence_length"": 232, ""create_date"": ""2018/08/24"", ""update_date"": ""2023/01/07"", ""dbsource"": ""refseq"", ""extra"": ""gi|1464311425|ref|YP_009509140.1|"", ""strain"": ""KRA1""}",Thermoproteus tenax,species,"The text states, ""Three structural proteins, TP1, TP2 and TP3, of the virus TTV1 of the thermophilic archaebacterium Thermoproteus tenax strain Kra1 were mapped...""",,literature,True,thermophile,,"The majority of the papers (4 out of 5) explicitly state that the enzyme utilized originates from a 'hyperthermophilic archaeon' or is 'derived from a hyperthermophilic archaeon' (Papers 36125762, PMC6339583.1, 30206766, PMC7919099.1). Furthermore, these enzymes are noted for their 'intrinsic thermostability' and optimal activity is often cited in the 70–90 °C range (Papers 36125762, PMC7919099.1). While one paper mentions mesophilic conditions (37 °C) for the model organism (*M. smegmatis*), the core subject of the thermal evidence—the enzyme itself—is consistently linked to hyperthermophilic sources and high-temperature stability. Therefore, the primary thermal characteristic highlighted is thermophily.",,True,data/accessions/YP_009509140/summary/summary.txt,data/accessions/YP_009509140/library/accession_lit,1,[],0,data/accessions/YP_009509140/library/host_lit,5,"['36125762.txt', 'PMC6339583.1.txt', '30206766.txt', 'PMC7919099.1.txt', 'PMC5351780.1.txt']",5,258.53,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""ClassifyHostLiterature"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 3.43, ""ClassifyHostMetadata"": 2.29, ""ClassifyHostLiterature"": 2.59, ""FilterRelevantLiterature"": 2.48, ""FilterRelevantHostLiterature"": 106.27, ""ClassifySummary"": 6.25}",False
